sample_id,cohort
3558_3E_R1S,STAY
3563_2D_R1S,STAY
3585_1K_R1L,STAY
3586_3A_R1L,STAY
3921_1M_R1S,STAY
3925_1K_R1S,STAY
3930_2F_R1S,STAY
3936_1R_R1S,STAY
3938_3H_R1S,STAY
3944_2H_Xe1_V,STAY
3946_2P_Xe1_V,STAY
3948_1E_R1S,STAY
3958_1G_R1S,STAY
3959_1R_R1S,STAY
3962_3H_R1L,STAY
3962_3H_Xe1_V,STAY
4048_3A_Xe1_V,STAY
4219_3G_R1S,STAY
4246_3E_R1L,STAY
4269_3M_R1S,STAY
4312_2E_R1S,STAY
4317_2H_R1S,STAY
4319_1L_R1S,STAY
4454_2L_R1S,STAY
4455_1N_R1S,STAY
4463_1Y_R1S,STAY
4497-1_2K_Xe1_V,STAY
4535_2J_R1S,STAY
4725_2C_R1L,STAY
4740_1I_R1S,STAY
4744_1P_Xe1_V,STAY
4754_1G_Xe1_V,STAY
4847-1_1J_Xe1_V,STAY
4262L_4H_R1S,standard
4262R_5I_R1S,standard
4268_2A_R1S,standard
4268_2A_R2S,standard
4268_2A_R3L,standard
4304_2C_R1S,standard
4304_2C_R2S,standard
4318_2J_R1S,standard
4318_2J_R2S,standard
4335_3D_R1L_s2,standard
4393_2H_R1S,standard
4404-1_2B_R1S,standard
4405_2L_R1S,standard
4416_2G_R1S,standard
4419_3F_R1S,standard
4425_2L_R2S,standard
4515_4L_R1L,standard
4814_1H_R1L,standard
4851_1D_R1L,standard
4874_2A_R2S,standard
